repo,path,lang,bucket,algorithms,evidence
R-s0n/Damn_Vulnerable_Node_App,app.js,js,string_literal,HS,'password'
R-s0n/Damn_Vulnerable_Node_App,app.js,js,string_literal,HS,'password'
R-s0n/Damn_Vulnerable_Node_App,app.js,js,string_literal,HS,'password'
Rajesh23965/graphqlApi,index.ts,ts,env_string,unspecified,process.env.SECRET_KEY || 'RajeshYadav'
Requenez-Diaz/Crud-conexion,auth.ts,ts,string_literal,unspecified,secretKey = 'ultra_secreto'
RestDB/codehooks-auth,lib.ts,ts,unknown,unspecified,"settings.JWT_REFRESH_TOKEN_SECRET (member, untraced)"
RestDB/codehooks-auth,lib.ts,ts,unknown,unspecified,"settings.JWT_ACCESS_TOKEN_SECRET (member, untraced)"
RiddleASL/AJS-CA1,app.js,js,env_string,unspecified,process.env.APP_KEY
RipanRenaldi25/rf_be,index.ts,ts,env_string,unspecified,"process.env.SECRET_ACCESS_TOKEN ?? ""ACCESS_TOKEN_RAHASIA"""
Ritvik2021/linkedin-scraper-revised,src/mw.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
RiyanshYogi/JWT,app.js,js,string_literal,unspecified,"secretKey = ""secret_key_hai"""
SURAJSCHAUHAN/transport_app,one.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET!
Sakshamkhadka7/Eccomerce_MERN_Backend_OOPS,server.ts,ts,unknown,unspecified,envConfig.secretKey as string
Sazkiasabrina/aivas-backend,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
Shivam-Dhaka12/chess_react_backend,socket.ts,ts,env_string,unspecified,process.env.JWT_SECRET as string
Sohag-Ahmed056/tourBuddy_findYourPartner_Client,proxy.ts,ts,string_literal,unspecified,"""abcd"""
Soumodeep084/cloudvault-storage-platform,proxy.ts,ts,env_string,unspecified,"process.env.JWT_SECRET || ""dev-only-secret-change-me"""
Sudharshan348/VManage,proxy.ts,ts,env_string,unspecified,"process.env.JWT_SECRET || ""hackathon_secret_key"""
TBA5854/Barcode-Scanner-Backend,app.ts,ts,string_literal,unspecified,"'This is supposed to be secret , made with <3 by tba'"
TBA5854/Barcode-Scanner-Backend,app.ts,ts,string_literal,unspecified,"'This is supposed to be secret , made with <3 by tba'"
TBA5854/Barcode-Scanner-Backend,app.ts,ts,string_literal,unspecified,"'This is supposed to be secret , made with <3 by tba'"
TBA5854/Barcode-Scanner-Backend,app.ts,ts,string_literal,unspecified,"'This is supposed to be secret , made with <3 by tba'"
TBA5854/Barcode-Scanner-Backend,app.ts,ts,string_literal,unspecified,"'This is supposed to be secret , made with <3 by tba'"
TalaoDAO/qrcode-generator,app.js,js,unknown,unspecified,config.get('ACCESS_TOKEN_SECRET')
ThatConference/that-api,src/security/jwt.js,js,unknown,unspecified,getKey (untraced)
Vheissu/neblio-dice,api.ts,ts,env_string,unspecified,process.env.token_secret
Videiraft/curious-server,app.js,js,env_string,unspecified,process.env.JWT_SECRET
WenzelJoao/clinic_backend,token.ts,ts,string_literal,unspecified,"SECRET_KEY = ""chaveSuperSecreta123456"""
WildCodeSchool/paris-js-0918-groupe9-node,app.js,js,unknown,unspecified,jwtSecret (untraced)
William-Fernandes252/advisor.ai-web,auth.ts,ts,env_string,unspecified,process.env.AUTH_SECRET as string
Woodykaixa/Woodykaixa-Website,lib/jwt.ts,ts,unknown,unspecified,"JwtConfig.SECRET (member, untraced)"
Woodykaixa/WorldAxletreeWeb,lib/jwt.ts,ts,unknown,unspecified,"JwtConfig.Secret (member, untraced)"
Zilong-L/gpt,lib/jwt.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET as string
abdullah-zakarya/car-part,socket.ts,ts,env_string,unspecified,process.env.JWT_SECRET as string
abid-arham/assignment-5,proxy.ts,ts,env_string,unspecified,process.env.JWT_ACCESS_SECRET!
ad1tyaydv/fasturl,proxy.ts,ts,env_string,unspecified,JWT_SECRET = process.env.NEXTAUTH_SECRET!
adir-jscode/Travel-360-Frontend,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET as string
agroXchange/backend,src/jwt.ts,ts,env_string,unspecified,secret = process.env.JWT_SECRET || 'Jalsdk#O@3o2849ahsDFAO3
agroXchange/backend,src/jwt.ts,ts,unknown,unspecified,passwordSecret (untraced)
ahsanhabibleon/ecom-backend,utils.ts,ts,env_string,unspecified,// @ts-ignore       process.env.JWT_SECRET
akshitgrover/hacken,jwt.js,js,unknown,unspecified,secret (untraced)
alexis-gss/ludaria,proxy.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET
ali-eljerrari/nodemailer-app,src/app.ts,ts,env_string,unspecified,secretKey = process.env['secretKey']!
amdryankz/karir-flow,proxy.ts,ts,env_string,unspecified,"process.env.BETTER_AUTH_SECRET || """""
amdryankz/test-project-fullstack,proxy.ts,ts,env_string,unspecified,"process.env.SECRET_KEY || """""
andygock/auth-server,app.js,js,env_string,unspecified,tokenSecret = process.env.AUTH_TOKEN_SECRET
andzia913/FinanBackend,index.ts,ts,env_string,unspecified,process.env.SECRET_KEY
anhpt-bss/nextjs-tailwind-starter,lib/jwt.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET || 'secret'
anishkumarshrees/mern-project-shree-beauty-parlour-server,server.ts,ts,unknown,unspecified,envConfig.jwtsecretkey as string
anisirji/mcp-server-remote-setup-with-jwt-auth,index.ts,ts,env_string,unspecified,"process.env.JWT_SECRET || ""your-secret-key"""
arashdoescode/userStory,app/routes/api.js,js,unknown,unspecified,secretKey (untraced)
arnia-unibuc/boilerplate,app.js,js,unknown,unspecified,JWT_SECRET (untraced)
asifforizy/Apollo-Gears-Frontend,proxy.ts,ts,env_string,unspecified,process.env.ACCESS_TOKEN_SECRET as string
bartdorsey/express-jwt-cookies-demo-app,app.js,js,string_literal,unspecified,secret = 'SSSSSSHHH'
berkerozer/dblesslogin,index.ts,ts,unknown,unspecified,"this.publicKey (member, untraced)"
bhavin-prajapati/react-redux-node-auth-starter,server/server.js,js,unknown,unspecified,JWT_SECRET (untraced)
boostcode/torijs,app.js,js,unknown,unspecified,"tori.core.secret (member, untraced)"
bshelling/user_authentication_pattern,src/fn.ts,ts,string_literal,unspecified,"""process.env.jwtSecret"""
bwobbones/resource,app.js,js,env_string,unspecified,process.env.SECRET
cbanluta2700/agrismart-,lib/jwt.ts,ts,unknown,unspecified,"AUTH_CONFIG.jwtSecret (member, untraced)"
ceaplicados/ntropresupuesto-api,app.js,js,env_string,unspecified,process.env.SESSION_SECRET
ceaplicados/ntropresupuesto-api,app.js,js,env_string,unspecified,process.env.SESSION_SECRET
chanakaDe/Mint-REST,util/middlewares.js,js,unknown,unspecified,"config.secretKey (member, untraced)"
chenkie/casino-api,server.ts,ts,env_string,unspecified,process.env.JWT_SECRET
cherealnice/creditMe_api,server.ts,ts,env_string,unspecified,process.env.JWT_PRIVATE_KEY
chingu-voyages/v8-chimeras-team-02,backend/index.js,js,env_string,unspecified,process.env.JWT_SECRET
chronicled/jwt,jwt.js,js,unknown,unspecified,cert (untraced)
coder-hunt/RESTfullAPI,server.js,js,string_literal,unspecified,'schoolcom'
connor11528/task-app-backend,src/api/user.js,js,env_string,unspecified,process.env.SECRET_KEY
cruzboj/web-server,JWT.js,js,env_string,unspecified,SECRET_KEY = process.env.JWT_SECRET
cruzboj/web-server,JWT.js,js,env_string,unspecified,SECRET_KEY = process.env.JWT_SECRET
cruzboj/web-server,JWT.js,js,env_string,unspecified,SECRET_KEY = process.env.JWT_SECRET
cutls/TootDesk-push-server,verify.ts,ts,buffer,ES,Buffer.from(pem)
cutls/TootDesk-push-server,verify.ts,ts,buffer,ES,Buffer.from(pem)
cutls/TootDesk-push-server,verify.ts,ts,file_contents,ES,pub = fs.readFileSync('./public.pem')
darwin-morocho/backend-curso-flutter,src/io.js,js,env_string,unspecified,process.env.SECRET
davidfurlong/minimal-miniapp-template,jwt.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
dayvidwhy/simple-chat,server.ts,ts,env_string,unspecified,process.env.SOCKET_AUTH_SECRET as string
denoland/jwt-mysql2-bench,deno.ts,ts,string_literal,unspecified,"jwtSecret = ""JWT_SECRET"""
devscollab/pcet-covid-task-force-api,app.js,js,env_string,unspecified,process.env.JWT_KEY
devscollab/pcet-covid-task-force-api,app.js,js,env_string,unspecified,process.env.JWT_KEY
devscollab/pcet-covid-task-force-api,app.js,js,env_string,unspecified,process.env.JWT_KEY
devscollab/pcet-covid-task-force-api,app.js,js,env_string,unspecified,process.env.JWT_KEY
devscollab/pcet-covid-task-force-api,app.js,js,env_string,unspecified,process.env.JWT_KEY
devscollab/pcet-covid-task-force-api,app.js,js,env_string,unspecified,process.env.JWT_KEY
dottgonzo/jwt-auth-class,index.ts,ts,unknown,unspecified,"that.secret (member, untraced)"
dottgonzo/jwt-http-utils,index.ts,ts,unknown,unspecified,"this.secret (member, untraced)"
dronedeploy/function-wrapper,helpers/jwt.js,js,unknown,unspecified,key (untraced)
duchuyhoang/chatAppSocket,app.ts,ts,env_string,unspecified,//       process.env.TOKEN_SECRET as string
duchuyhoang/chatAppSocket,app.ts,ts,env_string,unspecified,process.env.TOKEN_SECRET as string
egodasa/aplikasiujianberbasisweb,app.js,js,string_literal,unspecified,'Panther A 7.5cm kwk 42 L/70'
ehasunulislam/Ph_l2_A5_FixItNow_frontend,proxy.ts,ts,env_string,unspecified,process.env.JWT_ACCESS_SECRET!
eternalmangekyo022/hotels-backend,app.ts,ts,env_string,unspecified,process.env.JWT_ACCESS_SECRET!
exlskills/spf-server,lib/jwt.ts,ts,string_literal,RS,jwtPublicKey = ''
experoinc/aws-lambda-edge-oauth,index.js,js,unknown,unspecified,"config.certificate (member, untraced)"
fedosejev/express-api-token-authentication,middleware/token.js,js,unknown,unspecified,TOKEN_SECRET (untraced)
fredysiswanto/foodtrip-api,app.js,js,env_string,unspecified,process.env.TOKEN_SECRET
frendifdp/Clone-Carousell-Backend,app.js,js,string_literal,unspecified,'secretkey'
furkansimw/SOCIAL_MEDIA_APP,index.ts,ts,env_string,unspecified,"process.env.JWT_SECRET || """""
furqanRupom/wareon-ui,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET as string
gauravlanjekar/lambda-oidc-authenticator,lib.js,js,unknown,unspecified,key (untraced)
geri1997/hoxton-solo-project-backend,index.ts,ts,env_string,unspecified,// @ts-ignore             process.env.JWT_SECRET
geri1997/hoxton-solo-project-backend,index.ts,ts,env_string,unspecified,process.env.JWT_SECRET
geri1997/hoxton-solo-project-backend,index.ts,ts,env_string,unspecified,process.env.JWT_SECRET
geri1997/hoxton-solo-project-backend,index.ts,ts,env_string,unspecified,process.env.JWT_SECRET
geri1997/hoxton-solo-project-backend,index.ts,ts,env_string,unspecified,process.env.JWT_SECRET
geri1997/hoxton-solo-project-backend,index.ts,ts,env_string,unspecified,process.env.JWT_SECRET
geri1997/hoxton-solo-project-backend,index.ts,ts,env_string,unspecified,process.env.JWT_SECRET
geri1997/hoxton-solo-project-backend,index.ts,ts,env_string,unspecified,process.env.JWT_SECRET
geri1997/hoxton-solo-project-backend,index.ts,ts,env_string,unspecified,process.env.JWT_SECRET
ging/fiware-pep-proxy,controllers/root.js,js,unknown,unspecified,"config.pep.token.secret (member, untraced)"
gottasellemall69/card-test,proxy.ts,ts,env_string,unspecified,jwtSecret = process.env.JWT_SECRET
gupta-ritik/ExpenseTracker,lib/jwt.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET || 'your-secret-key'
haizzdungnay/WebSiteOtakuShopVer2,lib/jwt.ts,ts,unknown,unspecified,JWT_SECRET (untraced)
harshitnaik-ship-it/hack,auth.ts,ts,env_string,unspecified,secret = process.env.JWT_SECRET
haxcod/fastwin-server,app.js,js,string_literal,unspecified,"""mySecretKey"""
homanw104/pet-clinic,proxy.ts,ts,unknown,unspecified,JWT_SECRET!
hudsonmcmanus/reminder-app,jwt.js,js,unknown,unspecified,secret (untraced)
iopipe/lambda-requestbin,s3auth.js,js,unknown,unspecified,"keys.public (member, untraced)"
jackmeagher/iqms,app.js,js,string_literal,unspecified,secret = 'tg6bhr5dxddrtcx'
jerrychong25/node-express-mongo-nodemailer-password-reset-jwt,server.js,js,string_literal,unspecified,'RESTFULAPIs'
kalibani/HireFazz,auth.ts,ts,unknown,unspecified,secretJwt (untraced)
kedar09/nodejs-mongoose-jwt-authentication,app.js,js,string_literal,unspecified,"""httpskedar"""
kharalnirmal/Learn-Auth,lib/jwt.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET!
kharalnirmal/Learn-Auth,lib/jwt.ts,ts,env_string,unspecified,JWT_REFRESH_SECRET = process.env.JWT_REFRESH_SECRET!
konnectrsk/Test,jwt.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET || 'your-secret-key-change-
krshubham/codeslam,app.js,js,unknown,unspecified,secret (untraced)
kyonenya/jwt-auth-playground,jwt.ts,ts,unknown,RS,publicKey (untraced)
laibao101/captcha-demo,app.js,js,string_literal,unspecified,"privateKey = ""laobao101"""
lizhensheng/vue-data-view,server/app.js,js,string_literal,unspecified,SECRET = 'lkui'
lordrepha1980/MobAPI,app.js,js,unknown,unspecified,"config.auth.secret (member, untraced)"
lukacera/torvely,server.ts,ts,unknown,RS,getKey (untraced)
madjid123/Dexchat-full,server.ts,ts,env_string,unspecified,process.env.SECRET_KEY as string
mary0077/escola,app.js,js,env_string,unspecified,process.env.JWT_SECRET
mathcoll/t6,routes/ifttt.js,js,unknown,unspecified,"jwtsettings.secret (member, untraced)"
mathcoll/t6,routes/ifttt.js,js,unknown,unspecified,"jwtsettings.secret (member, untraced)"
mathcoll/t6,routes/ifttt.js,js,unknown,unspecified,"jwtsettings.secret (member, untraced)"
matheusBizutti/dd-backend,app.js,js,string_literal,unspecified,'ddproject'
matterconi/entropia,auth.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
mattetre/bitclout-jwt-validate,index.js,js,unknown,ES,rawPublicKeyEncoded (untraced)
mavvystudio/miniserver,src/jwt.ts,ts,env_string,unspecified,jwtSecret = process.env.JWT_SECRET!
mcebzkhumz-stack/EduPortal-,auth.ts,ts,unknown,unspecified,"config.JWT_SECRET (member, untraced)"
mcebzkhumz-stack/EduPortal-,auth.ts,ts,unknown,unspecified,"config.JWT_SECRET (member, untraced)"
mehediweb01/gear-up-web,proxy.ts,ts,env_string,unspecified,process.env.JWT_ACCESS_SECRET as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mihnea112/MarianApp_API,index.ts,ts,env_string,unspecified,process.env.TOKEN_KEY as string
mirage-software/Kabooty,src/jwt.ts,ts,unknown,unspecified,env['JWT_SECRET']
mishrasatyam/svelte_kit_jwt_auth,src/hooks.js,js,unknown,unspecified,"import.meta.env.VITE_JWT_PRIVATE_KEY (member, untraced)"
mkai-lab/COD-Battle-Management-System,auth.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET || 'default_secret_key'
mmansour88/wee,auth 5.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET || process.env.Service || '
mmansour88/wee,auth 5.ts,ts,env_string,unspecified,JWT_SECRET = process.env.JWT_SECRET || process.env.Service || '
mrizalbasri/Medivita-Rekam-Medis,lib/qr.ts,ts,unknown,unspecified,getQrSecret()
mrtayguney/snapremote-server,app.js,js,env_string,unspecified,jwtSecretKey = process.env.JWT_SECRET_KEY
mwondhaf/sec_dispatch_next,auth.ts,ts,env_string,unspecified,process.env.AUTH_SECRET as string
naeemul-online/E-Commerce-and-Inventory-Management-System-Client,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET as string
nankailiang/billiards-server,jwt.js,js,unknown,unspecified,screat (untraced)
navgurukul/snake-ladders-api,app.js,js,env_string,unspecified,process.env.JWT_SECRET
notenoughneon/skein,api.ts,ts,unknown,unspecified,"this.site.config.jwtSecret (member, untraced)"
oduyemi/AlasoVentures,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
olegabu/fabric-starter-rest,api/jwt-api.js,js,unknown,unspecified,jwtSecret (untraced)
onixtoken/ONIX-Network-mining,server.ts,ts,env_string,unspecified,"process.env.JWT_SECRET || ""onixsecret"""
opentok/opentok-jwt,lib.js,js,unknown,unspecified,secret (untraced)
p1atdev/web2discord,auth.ts,ts,unknown,unspecified,this.key!
paardarshee/wellnessAssessment,q4.ts,ts,string_literal,unspecified,"SECRET_KEY = ""This_is_very_Secured_key"""
packing-discord/packing-discord-bot,jwt.ts,ts,env_string,unspecified,process.env.PRIVATE_KEY!
programmer-666/jwtStuff,app.js,js,unknown,unspecified,secret (untraced)
rafidzia/interview-griptech,app.ts,ts,env_string,unspecified,process.env.SECRET as string
raj-kumar94/checkout-extension-react,app.js,js,env_string,unspecified,API_SECRET = process.env.SHOPIFY_API_SECRET
rakhimalik015-star/Ai-Based-Emergency-Ambulance-Tracking-System,proxy.ts,ts,env_string,unspecified,//                 process.env.JWT_SECRET! //
rakhimalik015-star/Ai-Based-Emergency-Ambulance-Tracking-System,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
riascho/authenticationCheatSheets,jwt.ts,ts,string_literal,unspecified,"JWT_SECRET = ""some_secret"""
richTheAnalyst/xxshop,proxy.ts,ts,env_string,unspecified,process.env.JWT_SECRET!
rohitranjanyadav/Homify-Marketplace-Server,server.ts,ts,unknown,unspecified,envConfig.jwtSecretKey as string
salekmichal1/project-menagment-api,index.ts,ts,env_string,unspecified,tokenSecret = process.env.TOKEN_SECRET as string
salekmichal1/project-menagment-api,index.ts,ts,env_string,unspecified,tokenSecret = process.env.TOKEN_SECRET as string
scryinfo/dp-contracts-old,src/jwt.ts,ts,string_literal,unspecified,JWT_SECRET = 'secret'
seanmavley/unifi-voucher-payment-server,app.js,js,unknown,unspecified,"config.secret (member, untraced)"
shashankWork21/niche,proxy.ts,ts,env_string,unspecified,process.env.ACCESS_TOKEN_SECRET!
